URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/us/pco/ValueSet/gas-score-answers,0.2.0,draft,,GASScoreAnswers,Follow-Up GAS Score Answers,"The progress rating on goal attainment scaling.","StructureDefinition/pco-goal-attainment-scaling,StructureDefinition/pco-gas-score-observation","LOINC"
http://hl7.org/fhir/us/pco/ValueSet/goal-attainment-scaling-score,0.2.0,draft,,GoalAttainmentScalingScore,Goal Attainment Scaling (GAS) Score,"The score indicates how a patient, caregiver, or practitioner rated progress on goal attainment scaling.","StructureDefinition/pco-gas-score-observation","LOINC"
http://hl7.org/fhir/us/pco/ValueSet/pco-bothersome-health-concern-valueset,0.2.0,draft,,BothersomeHealthConcernValueSet,Bothersome Health Concern Example ValueSet,"Example value set containing types of bothersome symptoms or health concerns.","StructureDefinition/pco-bothersome-health-concern","Internal"
http://hl7.org/fhir/us/pco/ValueSet/pco-care-tradeoff-choices-valueset,0.2.0,draft,,CareTradeOffChoicesValueSet,Care Trade-off Choices ValueSet,"Example value set containing options for a care trade-off.","StructureDefinition/pco-care-tradeoff","Internal"
http://hl7.org/fhir/us/pco/ValueSet/pco-care-tradeoff-valueset,0.2.0,draft,,CareTradeOffValueSet,Care Trade-off Example ValueSet,"Example value set containing types of care trade-off.","StructureDefinition/pco-care-tradeoff","Internal"
http://hl7.org/fhir/us/pco/ValueSet/pco-category-vs,0.2.0,draft,,PCOCategoryValueSet,Person-Centered Category Value Set,"Used to categorize resources as being a Person-Centered Goal","StructureDefinition/pco-goal-profile","Internal"
http://hl7.org/fhir/us/pco/ValueSet/pco-domain-category-valueset,0.2.0,draft,,PCODomainCategoryValueSet,PCO Domain Categories,"Example value set to identify the domains category for PCO resources.","StructureDefinition/pco-goal-profile","Internal"
http://hl7.org/fhir/us/pco/ValueSet/pco-survey-category-vs,0.2.0,draft,,PCOSurveyCategoryVS,Person-Centered Outcomes Survey Value Set,"Used to indicate that PCO observations of of type Survey, as defined by US-Core.",,"THO"
http://hl7.org/fhir/us/pco/ValueSet/prom-target-measures,0.2.0,draft,,PROMTargetMeasures,PROM Target Measures,"Target measure codes used to track progress on patient-reported outcome measures (PROMs).","StructureDefinition/pco-prom-goal-profile,StructureDefinition/pco-prom-score-observation","LOINC"
http://hl7.org/fhir/us/pco/ValueSet/wellbeing-category-vs,0.2.0,draft,,WellBeingCategoryValueSet,Well-Being Categories,"Value set containing well-being concepts for observation category.",,"Internal"
http://hl7.org/fhir/us/pco/ValueSet/wellbeing-domains-example-vs,0.2.0,draft,,WellBeingDomainValueSet,Well-Being Domains Example,"Example value set containing well-being domains from the VA Circle of Health.","StructureDefinition/pco-what-matters-assessment,StructureDefinition/pco-what-matters-statement,StructureDefinition/pco-what-matters-priority-focus","Internal"
http://hl7.org/fhir/us/pco/ValueSet/wellbeing-priority-focus-vs,0.2.0,draft,,WellBeingPriorityOrFocusValueSet,Well-Being Priority Or Focus,"Value set containing well-being concepts for priority or focus area.","StructureDefinition/pco-what-matters-priority-focus","Internal"
